repository,workflow_files,workflow_files_count
freelawproject/courtlistener,"[""black.yml"", ""codeql-analysis.yml"", ""sentry-release.yml"", ""tests.yml""]",4
XVincentX/Open103,"[""codeql-analysis.yml""]",1
fatiando/website,"[""build.yml""]",1
libretro/libretro-2048,"[""compilation.yml""]",1
powertab/powertabeditor,"[""build.yml""]",1
vdenotaris/spring-boot-security-saml-sample,"[""main.yml""]",1
kamsar/Dianoga,"[""Dianoga-CI.yml""]",1
fundamental/zynaddsubfx,"[""ccpp.yml""]",1
alexcrichton/flate2-rs,"[""main.yml""]",1
stack-of-tasks/eigenpy,"[""windows-conda.yml""]",1
pedrotoliveira/ppm-commons,"[""maven.yml""]",1
imsweb/seerapi-client-java,"[""integration.yml"", ""publish.yml""]",2
nicoddemus/pytest-mock,"[""main.yml""]",1
ryotarai/fluent-plugin-cloudwatch-logs,"[""issue-auto-closer.yml""]",1
arpitkh96/AmazeFileManager,"[""android-debug-artifact-ondemand.yml"", ""android-debug-artifact-release.yml"", ""android-feature.yml"", ""android-main.yml""]",4
volodymyrss/data-analysis,"[""python-app.yml""]",1
m09/syllable-counter,"[""ci.yml"", ""deploy.yml""]",2
freekmurze/eloquent-sortable,"[""php-cs-fixer.yml"", ""run-tests.yml""]",2
hein09/pwtoolbox,"[""desktop.yml"", ""python.yml"", ""website.yml""]",3
SEEK-Jobs/pact-net,"[""trigger_pact_docs_update.yml""]",1
robotology/segmentation,"[""gh-pages.yml""]",1
vishal0071/AmazeFileManager,"[""android-debug-artifact-ondemand.yml"", ""android-debug-artifact-release.yml"", ""android-feature.yml"", ""android-main.yml""]",4
kxgames/glooey,"[""test_and_release.yml""]",1
kxgames/vecrec,"[""test_and_release.yml""]",1
cilerler/Ruya,"[""Ruya.AppDomain.yml"", ""Ruya.Bus.RabbitMQ.yml"", ""Ruya.Bus.yml"", ""Ruya.EntityFramework.yml"", ""Ruya.Extensions.Caching.yml"", ""Ruya.Extensions.Logging.yml"", ""Ruya.Helpers.Primitives.yml"", ""Ruya.Primitives.yml"", ""Ruya.Security.Cryptography.yml"", ""Ruya.Services.CloudStorage.Abstractions.yml"", ""Ruya.Services.CloudStorage.Google.yml"", ""Ruya.Services.DataAccess.Abstractions.yml"", ""Ruya.Services.DataAccess.Sql.yml"", ""Ruya.Services.MessageQueue.Abstractions.yml"", ""Ruya.Services.MessageQueue.RabbitMq.yml""]",15
Karaage-Cluster/python-tldap,"[""pythonapp.yml""]",1
robotology/iol,"[""gh-pages.yml""]",1
rra/krb5-strength,"[""build.yaml""]",1
pypa/twine,"[""main.yml""]",1
jhawthorn/fzy,"[""test.yml""]",1
SCIInstitute/SCIRun,"[""ccpp.yml"", ""check-doc-website.yml"", ""label.yml"", ""mac.yml"", ""stale.yml"", ""windows.yml""]",6
robotology/himrep,"[""gh-pages.yml""]",1
pkozelka/contentcheck-maven-plugin,"[""maven.yml""]",1
atsushieno/nfluidsynth,"[""dotnet-core.yml""]",1
robotology/karma,"[""gh-pages.yml""]",1
Ultimaker/libArcus,"[""cicd-mingw64.yml"", ""cicd.yml""]",2
soumagne/hdf5,"[""main.yml""]",1
julien-boudry/Condorcet,"[""building_phar_executable.yml"", ""codacy_coverage.yml"", ""execute_all_tests.yml""]",3
ViDA-NYU/reprozip,"[""test.yml""]",1
bro/broker,"[""ci-notification.yml""]",1
camunda/camunda-template-engines-jsr223,"[""main.yml""]",1
robotology/gazebo-yarp-plugins,"[""ci.yml""]",1
jedisct1/sharedance,"[""codeql-analysis.yml""]",1
heroku/rack-timeout,"[""check_changelog.yml""]",1
opensim-org/opensim-core,"[""continuous_integration.yml""]",1
EconForge/dolo,"[""ci.yaml"", ""mkdocs.yml"", ""publish-to-test-pypi.yml""]",3
slartus/4pdaClient-plus,"[""android-master.yml""]",1
caius/caiustheory.com,"[""build.yml"", ""deploy.yml""]",2
krzyzanowskim/CryptoSwift,"[""linux.yml"", ""macos.yml""]",2
mdsimmo/Bomberman,"[""build.yml""]",1
tguzik/valueclasses,"[""maven.yml""]",1
m09/aho-corasick,"[""ci.yml"", ""deploy.yml""]",2
praekelt/vumi-aat,"[""build.yaml""]",1
KTXSoftware/kraffiti,"[""linux.yml"", ""macos.yml"", ""windows.yml""]",3
Plaid/plaid-java,"[""add_to_project.yml""]",1
mitre-cyber-academy/registration-app,"[""run-tests.yml""]",1
robotology/stereo-vision,"[""gh-pages.yml""]",1
rra/rra-c-util,"[""build.yaml""]",1
wildfly/wildfly-arquillian,"[""maven.yml"", ""wildfly-build.yml""]",2
JC5/firefly-iii,"[""laravel.yml""]",1
smurn/ifaddr,"[""ci.yml""]",1
camunda/camunda-bpm-webapp,"[""main.yml""]",1
acroucher/FRUITPy,"[""pythonpublish.yml""]",1
hsbt/logger-application,"[""test.yml""]",1
adafruit/Adafruit_FONA_Library,"[""githubci.yml""]",1
wildfly/wildfly-core,"[""stale.yml""]",1
finapps/ruby-client,"[""main.yaml"", ""release-drafter.yml"", ""release.yml"", ""verify-pr-labeled.yml""]",4
HEP-FCC/FCCSW,"[""test.yml""]",1
remram44/reprozip,"[""test.yml""]",1
robotology/speech,"[""gh-pages.yml""]",1
camelmasa/itaiji,"[""gempush.yml""]",1
wireshark/wireshark,"[""macos.yml"", ""options.yml"", ""ubuntu.yml"", ""windows.yml""]",4
dgraham/yajl-ffi,"[""ruby.yml""]",1
airnotifier/airnotifier,"[""pythonapp.yml""]",1
winebarrel/ridgepole,"[""test.yml""]",1
uwegeercken/jare,"[""maven.yml""]",1
byfilip/streamxmlwriter,"[""python-app.yml""]",1
droolsjbpm/kie-uberfire-extensions,"[""pull_request.yml""]",1
jweiland-net/yellowpages2,"[""ci.yml""]",1
robotframework/robotframework,"[""acceptance_tests_cpython.yml"", ""acceptance_tests_jython.yml"", ""unit_tests.yml"", ""upload_test_reports.yml""]",4
burningmantech/ranger-ims-server,"[""cicd.yml""]",1
Automattic/node-canvas,"[""ci.yaml"", ""prebuild.yaml""]",2
The-Compiler/qutebrowser,"[""ci.yml"", ""recompile-requirements.yml""]",2
RentTheRunway2/conduit,"[""release.yml""]",1
BastiTee/bastis-python-toolbox,"[""main.yml""]",1
naver/ngrinder,"[""gradle.yml""]",1
jamesagnew/hapi-fhir,"[""codeql-analysis.yml""]",1
sue445/fluent-plugin-out_chatwork,"[""test.yml""]",1
OfficeDev/Open-XML-SDK,"[""poll.yml""]",1
pepabo/japan_net_bank,"[""testing.yml""]",1
railsconfig/rails_config,"[""tests.yml""]",1
Julian/Virtue,"[""ci.yml"", ""coverage.yml"", ""packaging.yml"", ""perf.yml""]",4
pypa/packaging,"[""docs.yml"", ""lint.yml"", ""test.yml""]",3
xlcnd/isbnlib,"[""basictests.yml"", ""codeql-analysis.yml"", ""wip.yml""]",3
solvcon/solvcon,"[""solvcon_install.yml""]",1
tn0502/rainbow,"[""main.yml""]",1
javadev/file-manager,"[""maven.yml""]",1
danmar/cppcheck-htdocs,"[""nodejs.yml""]",1
xsnippet/xsnippet-next,"[""tests.yml""]",1
sandstorm-io/sandstorm,"[""build.yml"", ""doc-prod.yml""]",2
spring-projects/spring-session,"[""continuous-integration-workflow.yml"", ""pr-build-workflow.yml""]",2
inducer/meshmode,"[""ci.yml""]",1
OpenSMTPD/libasr,"[""ccpp.yml""]",1
dssit/roles-management,"[""aws.yml""]",1
dssit/dss-messenger,"[""aws.yml""]",1
facebook/facebook-clang-plugins,"[""clang.yml""]",1
FInAT/FInAT,"[""docs.yml"", ""test.yml""]",2
ioquatix/periodical,"[""development.yml""]",1
opentok/opentok-ios-sdk-samples,"[""main.yml""]",1
matham/moa,"[""pythonapp.yml""]",1
jbachorik/btrace,"[""stale.yml""]",1
steven-murray/halomod,"[""bump_version.yaml"", ""pre_commit.yaml"", ""publish-to-pypi.yaml"", ""test_suite.yaml""]",4
OpenSMTPD/OpenSMTPD,"[""alpine.yml"", ""arch.yml"", ""clang.yml"", ""coverity.yml"", ""fedora-gcc10.yml"", ""fedora.yml"", ""macos-latest.yml"", ""ubuntu-gcc10.yml"", ""ubuntu.yml""]",9
opentok/opentok-android-sdk-samples,"[""main.yml""]",1
etiennestuder/gradle-jooq-plugin,"[""gradle-build.yml"", ""gradle-wrapper-validation.yml""]",2
Pythonista-Tools/Pythonista-Tools,"[""lint_python.yml""]",1
greg0ire/enum,"[""sa.yml""]",1
robotology/stereoVision,"[""gh-pages.yml""]",1
realnc/SDL_audiolib,"[""ci.yml""]",1
matsuosh/rollbook,"[""metrics.yml""]",1
lucatume/wp-browser,"[""ci.yaml""]",1
fvacek/quickbox,"[""c-cpp.yml""]",1
kazuki43zoo/demo-application,"[""maven.yml""]",1
jpakkane/meson,"[""ci_frameworks.yml"", ""images.yml"", ""lint_mypy.yml"", ""nonative.yml"", ""os_comp.yml"", ""unusedargs_missingreturn.yml""]",6
fmichonneau/phylobase,"[""R-CMD-check.yaml""]",1
sue445/rspec-temp_dir,"[""test.yml""]",1
sue445/heart_seed,"[""test.yml""]",1
pyca/service_identity,"[""main.yml""]",1
Starkast/wikimum,"[""ci.yml"", ""dependabot.yml""]",2
toin0u/DigitalOceanV2,"[""static.yml"", ""tests.yml""]",2
dreamworksanimation/openvdb,"[""build.yml"", ""docs.yml"", ""houdini.yml"", ""whitespace.yml""]",4
OP-TEE/optee_os,"[""stales.yml""]",1
cake-build/cake,"[""build.yml""]",1
puppetlabs/puppetlabs-powershell,"[""release.yml"", ""weekly.yml""]",2
miketheman/nginx,"[""ci.yml"", ""md-links.yml""]",2
burtlo/ark,"[""branchcleanup.yml"", ""delivery.yml""]",2
someara/ark,"[""branchcleanup.yml"", ""delivery.yml""]",2
SimpleSoftwareIO/simple-qrcode,"[""php.yml""]",1
att/XACML,"[""maven.yml""]",1
jrl-umi3218/sch-core,"[""build.yml"", ""conan.yml"", ""package.yml""]",3
maxcanna/muzei-webcam,"[""ci.yml""]",1
TinoDidriksen/cg3ide,"[""build.yaml""]",1
nschloe/betterbib,"[""ci.yml""]",1
digipost/sdp-shared,"[""build.yml"", ""release.yml""]",2
khituras/elasticsearch-mapper-preanalyzed,"[""maven.yml""]",1
scienceopen/nmea-util,"[""ci.yml""]",1
OsirisTerje/IFix,"[""blank.yml""]",1
GreatDevelopers/LibreHatti,"[""pre-commit.yml""]",1
postfixadmin/postfixadmin,"[""php.yml""]",1
duncan3dc/fork-helper,"[""buildcheck.yml"", ""coverage.yml""]",2
camunda/camunda-connect,"[""main.yml""]",1
zhengxwen/gdsfmt,"[""main.yml""]",1
allisson/django-pagseguro2,"[""django.yaml""]",1
camunda/camunda-spin,"[""main.yml""]",1
Seravo/wp-spam-question-filter,"[""wp-release-on-tag.yml"", ""wp-sync-assets.yml""]",2
reload/harvester,"[""static-code-analysis.yml""]",1
jimmoores/quandl4j,"[""maven.yml""]",1
mivok/markdownlint,"[""ci.yml"", ""dco.yml""]",2
remram44/rpaths,"[""test.yml""]",1
yorickdewid/Chat-Server,"[""cmake.yml""]",1
FoxelBox/RedisDependency,"[""mavenpublish.yml""]",1
FoxelBox/ConfigDependency,"[""mavenpublish.yml""]",1
haiwen/seafdav,"[""stale.yml""]",1
aaronpk/omniauth-indieauth,"[""verify.yml""]",1
stubbles/stubbles-date,"[""phpstan.yml"", ""runTests.yml""]",2
duncan3dc/domparser,"[""buildcheck.yml"", ""coverage.yml""]",2
stackforge/doc8,"[""release-drafter.yml"", ""tox.yml""]",2
adafruit/Adafruit_MPL3115A2_Library,"[""githubci.yml""]",1
gpupo/similarity,"[""php.yml""]",1
contao/contao,"[""ci.yml""]",1
jgraichen/rails-rfc6570,"[""build.yml"", ""lint.yml""]",2
G-Node/nixpy,"[""pythonpackage.yml""]",1
getsentry/raven-java,"[""android.yml"", ""gradle-wrapper-validation.yml""]",2
Markush2010/django-osm-field,"[""pythonpublish.yml"", ""pythontests.yml""]",2
akaIDIOT/python-configuration,"[""test.yml""]",1
kurudrive/vk-post-author-display,"[""wp-plugin-deploy.yml""]",1
sashite/gan.rb,"[""rubocop.yml""]",1
sashite/pan.rb,"[""rubocop.yml""]",1
composer/windows-setup,"[""builds.yml""]",1
scienceopen/python-AIRtools,"[""ci.yml""]",1
zlamalp/perun-wui,"[""maven.yml""]",1
TYPO3-Documentation/TYPO3CMS-Reference-CoreApi,"[""CI.yml""]",1
martincostello/sqllocaldb,"[""build.yml"", ""codeql-analysis.yml"", ""linter.yml"", ""update-dotnet-sdk.yml""]",4
python-pillow/Pillow,"[""lint.yml"", ""test-docker.yml"", ""test-windows.yml"", ""test.yml""]",4
tgrosch/zdf-auto-dl,"[""main.yml""]",1
solodon4/Mach7,"[""ci.yml""]",1
ioquatix/trenni,"[""development.yml""]",1
jleben/stream-lang,"[""release.yml"", ""test.yml""]",2
ashokrajar/mylife.ashokraja.in,"[""ci.yml"", ""deploy.yml""]",2
kichik/pecoff4j,"[""build-and-publish.yml""]",1
narrowspark/framework,"[""code-coverage.yml"", ""coding-standard.yml"", ""continuous-integration-linux.yml"", ""continuous-integration-windows.yml"", ""markdown-lint.yml"", ""php-audit.yml"", ""split.yml"", ""static-analyze.yml""]",8
SamuraiT/mecab-python3,"[""windows.yml""]",1
cyril/h.rb,"[""rubocop.yml""]",1
yelizariev/addons-yelizariev,"[""DINAR-pr.yml"", ""DINAR.yml"", ""main.yml""]",3
camunda/camunda-commons,"[""main.yml""]",1
shadow/shadow-plugin-tor,"[""build_and_test.yml""]",1
weechat/weercd,"[""ci.yml""]",1
masa21kik/csvconv,"[""ruby.yml""]",1
anrieff/libcpuid,"[""release.yml"", ""unix.yml"", ""windows.yml""]",3
nasa-gibs/mrf,"[""main.yml""]",1
puppetlabs/forge-ruby,"[""ruby-rspec.yml""]",1
telegramdesktop/tdesktop,"[""issue_closer.yml"", ""linux.yml"", ""mac.yml"", ""master_updater.yml"", ""snap.yml"", ""win.yml""]",6
tendermint/tendermint,"[""coverage.yml"", ""linkchecker.yml"", ""lint.yaml"", ""linter.yml"", ""net.yml"", ""proto.yml"", ""stale.yml"", ""tests.yml""]",8
pitosalas/coursegen,"[""pr.yml""]",1
thomwiggers/onebot,"[""pythontest.yml""]",1
pndurette/gTTS,"[""pr.yml"", ""publish.yml"", ""push.yml""]",3
matham/barst,"[""cbuild.yml""]",1
Hamekoz/hamekoz-sharp,"[""dotnet-core-desktop.yml"", ""dotnetcore.yml""]",2
onecoolx/picasso,"[""android-cpp.yml"", ""linux-cpp.yml"", ""macosx-cpp.yml"", ""windows-cpp.yml""]",4
johan-martenson/settlers,"[""maven.yml""]",1
pyannote/pyannote-metrics,"[""doc.yml"", ""pypi.yml"", ""test.yml""]",3
patriksvensson/cake,"[""build.yml""]",1
opencivicdata/python-legistar-scraper,"[""pythonapp.yml""]",1
pacificclimate/pdp_util,"[""pypi-publish.yml"", ""python-ci.yml""]",2
tschellenbach/stream-python,"[""ci.yml""]",1
luqasz/librouteros,"[""ci.yml""]",1
joshtronic/php-loremipsum,"[""test.yml""]",1
pyannote/pyannote-core,"[""doc.yml"", ""pypi.yml"", ""test.yml""]",3
orchestral/avatar,"[""tests.yml""]",1
marcelrienks-vox/ScrummageV2,"[""main.yml""]",1
jnrbsn/daemonocle,"[""build.yml""]",1
scienceopen/cv-utils,"[""ci_python.yml""]",1
bradfordboyle/pyglpk,"[""continuous-integration-workflow.yml""]",1
TinoDidriksen/cg3,"[""build.yaml""]",1
Nosto/nosto-magento-extension,"[""action.yml"", ""phan.yml""]",2
adafruit/Adafruit_FRAM_I2C,"[""githubci.yml""]",1
nephila/django-meta,"[""lint.yml"", ""publish.yml"", ""test.yml""]",3
EvanHahn/pushbullet-cli,"[""testing.yml""]",1
AlexisTM/JSONAPI,"[""php.yml""]",1
jcypret/middleman-title,"[""ruby.yml""]",1
Eldelshell/jongo,"[""maven.yml""]",1
jvirtanen/nassau,"[""test.yml""]",1
InvoicePlane/InvoicePlane,"[""test-frontend.yml"", ""test-php.yml""]",2
ewels/cpt-bootstrap-carousel,"[""publish-wordpress.org.yml""]",1
gccxml/pygccxml,"[""tests.yml""]",1
zooniverse/Panoptes,"[""add_approve_label_to_pr.yml""]",1
Code-Sharp/WampSharp,"[""dotnetcore.yml"", ""githubPackages.yml"", ""nugetGallery.yml""]",3
samjsharpe/icinga_slack_webhook,"[""tests.yml""]",1
johnbillion/extended-cpts,"[""test.yml""]",1
agrobbin/spritely,"[""ci.yml""]",1
synrc/fs,"[""elixir.yml""]",1
alexgenco/neovim-ruby,"[""docs.yml"", ""linter.yml"", ""tests.yml""]",3
krautcomputing/rubydocs,"[""ci.yml""]",1
pacificclimate/modelmeta,"[""pypi-publish.yml"", ""python-ci.yml""]",2
l-lin/dev-cheat-sheet,"[""maven.yml""]",1
pacificclimate/pycds,"[""pypi-publish.yml"", ""python-ci.yml""]",2
Liamraystanley/links.ml,"[""build.yml"", ""release-notify.yml"", ""release.yml""]",3
johnbellone/consul-cookbook,"[""ci.yml"", ""md-links.yml""]",2
barak/mlpack,"[""main.yml""]",1
MilkBowl/VaultAPI,"[""maven.yml"", ""release.yml""]",2
silverstripe-labs/silverstripe-securityreport,"[""main.yml""]",1
blue-yonder/sqlalchemy_exasol,"[""CI-CD.yml"", ""CI.yml""]",2
SpunkyBot/spunkybot,"[""ci.yml"", ""create-release.yml"", ""greetings.yml"", ""pypi-publish.yml"", ""stale.yml""]",5
cspray/labrador,"[""php.yml""]",1
derhansen/sf_event_mgt,"[""ci.yml""]",1
alliedmodders/ambuild,"[""ci.yml"", ""yapf.yml""]",2
lizconlan/bookshelf,"[""ruby.yml""]",1
GrahamCampbell/Laravel-Manager,"[""tests.yml""]",1
PanDAWMS/panda-server,"[""pythonpublish.yml""]",1
JonasSamuelsson/Handyman,"[""Handyman.DuckTyping.yaml""]",1
giampaolo/psutil,"[""build_wheel.yml""]",1
privacyidea/privacyidea,"[""greetings.yml"", ""reviewdog.yml""]",2
monte-language/typhon,"[""cachix.yml"", ""irc.yml""]",2
open-keychain/openpgp-api-lib,"[""Android-CI.yml"", ""gradle-wrapper-validation.yml""]",2
nooku/nooku-framework,"[""pull-request.yml""]",1
geodynamics/aspect,"[""linux.yml""]",1
liballeg/allegro5,"[""continuous-integration.yml""]",1
wesleybowman/UTide,"[""pre-commit.yml""]",1
timofurrer/ds18b20,"[""ci.yml""]",1
betsegaw/windowwalker,"[""develop.yml"", ""master.yml""]",2
jweiland-net/events2,"[""ci.yml""]",1
maizy/zaglushka,"[""unittests.yml""]",1
OpenSCAP/scap-workbench,"[""main.yml""]",1
codevise/pageflow,"[""docs.yml""]",1
opscode-cookbooks/yum-mysql-community,"[""branchcleanup.yml"", ""delivery.yml""]",2
leonardo2d/KiWi,"[""main.yml""]",1
orchestral/parser,"[""tests.yml""]",1
rshk/python-pcapng,"[""pre-commit.yml""]",1
coduo/php-to-string,"[""testsuite.yml""]",1
glandium/sccache,"[""ci.yml""]",1
caskroom/homebrew-cask,"[""automerge.yml"", ""ci.yml"", ""rebase.yml"", ""rerun-workflow.yml"", ""review.yml"", ""self-approve.yml"", ""sync-labels.yml"", ""sync-templates-and-ci-config.yml""]",8
ebassi/graphene,"[""msvc-env.yml"", ""msys2.yml"", ""ubuntu-latest.yml""]",3
stef/pyrsp,"[""codeql-analysis.yml""]",1
sualeh/magnetictrackparser,"[""build.yml"", ""codeql-analysis.yml"", ""publish.yml""]",3
freekmurze/geocoder,"[""php-cs-fixer.yml"", ""run-tests.yml""]",2
SWI-Prolog/packages-jpl,"[""maven.yml""]",1
skottler/selinux,"[""branchcleanup.yml"", ""delivery.yml""]",2
neo4j-contrib/cypher-dsl,"[""build.yml"", ""publish_docs.yml""]",2
jasonm23/story_branch,"[""rubocop.yml""]",1
google/closure-compiler,"[""ci.yaml""]",1
libLTE/libLTE,"[""ccpp.yml""]",1
snipem/playstation-price-drop-alert,"[""build.yaml""]",1
wforums/CCExtractorTester,"[""build.yml""]",1
pylada/pylada-light,"[""conda-macos.yml"", ""python3-linux.yml""]",2
interagent/heroics,"[""check_changelog.yml""]",1
janbeernink/class-dependency-scanner,"[""gradle.yml""]",1
querydsl/querydsl,"[""ci.yml""]",1
coduo/php-matcher,"[""mutation.yml"", ""static-analyze.yml"", ""tests.yml""]",3
Seravo/wp-custom-bulk-actions,"[""wp-release-on-tag.yml"", ""wp-sync-assets.yml""]",2
sue445/faker-precure,"[""test.yml""]",1
hw-cookbooks/aptly,"[""ci.yml"", ""md-links.yml""]",2
hasghari/flavicon,"[""ruby.yml""]",1
ssaunier/github_webhook,"[""ruby.yml""]",1
rougier/freetype-py,"[""ci.yml""]",1
DSMan195276/protura,"[""ci.yml""]",1
woodsts/crosstool-ng,"[""continuous-integration-workflow.yml""]",1
geerlingguy/ansible-for-devops,"[""ci.yml""]",1
ksindi/sqlacodegen,"[""pythonpublish.yml""]",1
cli/bean,"[""ccpp.yml""]",1
tguzik/typedvalues,"[""maven.yml""]",1
aleksandr-m/gitflow-maven-plugin,"[""verify.yml""]",1
hw-cookbooks/nginx_simplecgi,"[""md-links.yml""]",1
elasticsearch/elasticsearch-dsl-py,"[""backport.yml""]",1
mambaru/v-set,"[""mamba-ready.yml"", ""mambaru.yml"", ""master.yml""]",3
verma/laz-perf,"[""ccpp.yml""]",1
tibel/Caliburn.Light,"[""ci.yml""]",1
swarrot/SwarrotBundle,"[""static.yml""]",1
mitsuhiko/click,"[""tests.yaml""]",1
seleniumQuery/seleniumQuery,"[""continuous-integration-workflow.yml""]",1
HamWAN/hamwan-portal,"[""django.yml""]",1
ElunaLuaEngine/ElunaTrinityWotlk,"[""gcc-build.yml"", ""issue-closer.yml""]",2
tldr-pages/tldr-python-client,"[""test.yml""]",1
pjuu/pjuu,"[""main.yml""]",1
micges/mesaflash,"[""ci.yml""]",1
glazedlists/glazedlists,"[""ci-gradle-build.yml""]",1
the-blue-alliance/the-blue-alliance,"[""pull_request.yml"", ""push.yml"", ""update_wiki.yml""]",3
k4cg/nichtparasoup,"[""python-package-tests.yaml"", ""python-plugin-example-tests.yaml"", ""release.yaml"", ""web-ui-tests.yaml""]",4
opendevise/asciidoctor-epub3,"[""ci.yml"", ""release.yml""]",2
Shalzz/upes-academics,"[""main.yml""]",1
appium/appium-dotnet-driver,"[""main.yml"", ""release-drafter.yml"", ""release-nuget.yml""]",3
0xd4d/dnlib,"[""build.yml""]",1
doorkeeper-gem/doorkeeper,"[""check_orm_changes.yml""]",1
gnss-sdr/gnss-sdr,"[""main.yml""]",1
adafruit/Adafruit_MCP9808_Library,"[""githubci.yml""]",1
openhab/openhab.android,"[""build.yml"", ""labeler.yml"", ""validate-strings.yml""]",3
carlesfernandez/gnss-sdr,"[""main.yml""]",1
ngs/middleman-ogp,"[""rubygems.yml"", ""test.yml""]",2
hakanensari/jeff,"[""build.yml""]",1
dave3d/dicom2stl,"[""python-app.yml""]",1
TNG/jgiven,"[""gradle-wrapper-validation.yml""]",1
linuxdeepin/dde-control-center,"[""build.yaml""]",1
nano-byte/common,"[""build.yml""]",1
square/okio,"[""build.yml""]",1
mvdbos/vdb-uri,"[""php.yml""]",1
jvirtanen/parity,"[""test.yml""]",1
igniterealtime/Openfire,"[""continuous-integration-workflow.yml""]",1
ashmind/TryRoslyn,"[""roslyn-branches.yml""]",1
gmiranda23/ntp,"[""branchcleanup.yml"", ""ci.yml""]",2
frankhjung/python-yaml,"[""pythonapp.yml""]",1
devnied/EMV-NFC-Paycard-Enrollment,"[""maven.yml""]",1
plamere/spotipy,"[""pull_request.yml"", ""pythonapp.yml""]",2
Onend/paypal-sdk-php,"[""php.yml""]",1
appium/java-client,"[""gradle-wrapper-validation.yml"", ""gradle.yml""]",2
Steveice10/MCAuthLib,"[""maven.yml""]",1
rtlopez/decimal,"[""php.yml""]",1
Plaid/plaid-python,"[""add_to_project.yml""]",1
Kevin-Lee/kommonlee-core,"[""build.yml""]",1
robotology/icub-firmware-shared,"[""ci.yml""]",1
rieske/trans,"[""build.yml""]",1
s4u/pgpverify-maven-plugin,"[""verify.yml""]",1
evsinev/ber-tlv,"[""maven.yml""]",1
piwik/device-detector,"[""update-readme.yml""]",1
chef-partners/azure-cookbook,"[""branchcleanup.yml""]",1
ianopolous/Peergos,"[""ant.yml""]",1
alimony/sublime-slugify,"[""codeql-analysis.yml""]",1
CoreSecurity/pysap,"[""build_and_test.yml""]",1
CoreSecurity/SAP-Dissection-plug-in-for-Wireshark,"[""macos.yml"", ""ubuntu.yml"", ""windows.yml""]",3
samuelcolvin/GrabLib,"[""ci.yml""]",1
IntelOrca/OpenRCT2,"[""ci.yml"", ""localisation.yml""]",2
theforeman/foreman-tasks,"[""js_tests.yml"", ""ruby_tests.yml""]",2
LeftyBC/weebullet,"[""pythonapp.yml""]",1
martinusso/Ini.Net,"[""build_deploy.yml""]",1
CleanCut/green,"[""label-sponsors.yml""]",1
hakanensari/peddler,"[""build.yml""]",1
zone117x/node-multi-hashing,"[""node.js.yml""]",1
TRIQS/cthyb,"[""build.yml""]",1
ibmagic/python-builtwith,"[""pythonpackage.yml""]",1
cameronbwhite/Flask-CAS,"[""main.yml""]",1
brunoborges/fx2048,"[""gradle.yml""]",1
libretro/libretro-fceumm,"[""compilation.yml""]",1
ewolff/spring-boot-demos,"[""maven.yml""]",1
schubergphilis/sbp_mcafee,"[""ci.yml""]",1
rmichie/heatsource-9,"[""build_linux.yml"", ""build_mac.yml"", ""build_win.yml"", ""pyinstaller.yml""]",4
voc/eventkalender,"[""build.yml""]",1
cwacek/python-jsonschema-objects,"[""publish.yml"", ""pythonpackage.yml"", ""stale.yml""]",3
qxmpp-project/qxmpp,"[""push-docs.yml"", ""tests.yml""]",2
weechat/weechat.org,"[""ci.yml""]",1
FabriceSalvaire/PySpice,"[""pyspice-test.yml""]",1
kotcrab/VisSceneEditor,"[""gradle.yml""]",1
ATLauncher/ATLauncher,"[""application.yml""]",1
dmacvicar/qemacs,"[""workflow.yml""]",1
infinum/android_dbinspector,"[""gradle-wrapper-validation.yml""]",1
Arctem/arcbot,"[""pythonapp.yml""]",1
indy256/codelibrary,"[""cpp.yml"", ""java.yml"", ""main.yml""]",3
dchbx/gluedb,"[""push_checks.yml""]",1
iphoting/ovpnmcgen.rb,"[""ruby.yml""]",1
toshimaru/Rails-4-Twitter-Clone,"[""auto-author-assign.yml"", ""coverage.yml"", ""docker-compose-build.yml"", ""macos.yml"", ""rubocop.yml"", ""ubuntu.yml""]",6
takari/io.takari.incrementalbuild,"[""ci.yml""]",1
Elders/Cronus,"[""issues.yml""]",1
SonarSource/sonarqube,"[""dogfood.yml"", ""nightly-qa.yml"", ""release.yml"", ""suggest-dependency-upgrades.yml"", ""sync-lts-branch.yml"", ""sync-master-branch.yml"", ""upgrade-plugins.yml""]",7
mainwp/mainwp-child,"[""docproc.yml""]",1
mainwp/mainwp,"[""docproc.yml""]",1
lemire/externalsortinginjava,"[""java8.yml""]",1
balloob/pywemo,"[""build.yml"", ""publish.yml""]",2
csound/csound,"[""csound_builds.yml""]",1
jssjr/git,"[""branchcleanup.yml"", ""delivery.yml""]",2
Team3512/2014-robot,"[""ci.yml""]",1
netherphp/surface,"[""phpunit.yml""]",1
blimmer/benlimmer.com,"[""build.yml""]",1
artyom-poptsov/guile-ssh,"[""guile2.2.yml"", ""guile3.0.yml""]",2
benbalter/word-to-markdown,"[""linter.yml""]",1
tiste/middleman-meta-tags,"[""ruby.yml""]",1
RinkAttendant6/JsonI18n,"[""php.yml""]",1
BarbDev/EME_Team_lib,"[""ccpp.yml""]",1
netherphp/object,"[""phpunit.yml""]",1
discourse/onebox,"[""ci.yml""]",1
wanduow/libtrace,"[""pkg-build.yaml"", ""rpm-build.yaml""]",2
sailfish-sdk/sailfish-qtcreator,"[""build_cmake.yml""]",1
orchestral/tenanti,"[""tests.yml""]",1
